state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Sachsen-Anhalt;15;0;89;0310;310;Staßfurt;146,67;24293;
Mecklenburg-Vorpommern;13;0;71;5162;142;Stavenhagen (Reuterstadt);41,02;5803;
Baden-Württemberg;8;1;35;0032;032;Steinheim am Albuch;82,43;8834;
Baden-Württemberg;8;3;35;5005;077;Steißlingen;24,52;5034;
Mecklenburg-Vorpommern;13;0;73;0088;088;Stralsund;54,59;59363;
Baden-Württemberg;8;1;11;0000;000;Stuttgart;207,33;612633;
Thüringen;16;0;64;0074;074;Südeichsfeld;64;6624;
Baden-Württemberg;8;3;25;5006;057;Sulz am Neckar;87,62;12724;
Saarland;10;0;41;0518;518;Sulzbach (Saar);16,07;16353;
Mecklenburg-Vorpommern;13;0;73;5356;090;Sundhagen;159,81;5339;
Sachsen-Anhalt;15;0;90;0550;550;Tangermünde;89,99;10283;
Saarland;10;0;46;0118;118;Tholey;57,55;12160;
Rheinland-Pfalz;7;2;31;5009;124;Traben-Trarbach;31,35;5748;
Rheinland-Pfalz;7;2;11;0000;000;Trier;117,06;104342;
Baden-Württemberg;8;4;16;0041;041;Tübingen;108,07;92811;
Baden-Württemberg;8;3;37;5004;128;Ühlingen-Birkendorf;77,08;5459;
Thüringen;16;0;73;0109;109;Uhlstädt-Kirchhasel;121,64;5505;
Baden-Württemberg;8;4;21;0000;000;Ulm;118,68;129882;
Baden-Württemberg;8;3;26;5004;074;Villingen-Schwenningen;165,53;88213;
Saarland;10;0;41;0519;519;Völklingen;67,1;40192;
Saarland;10;0;42;0116;116;Wadern;111,14;15885;
Saarland;10;0;44;0120;120;Wadgassen;25,91;17016;
Baden-Württemberg;8;2;15;0106;106;Waghäusel;42,84;21444;
Baden-Württemberg;8;1;19;0079;079;Waiblingen;42,75;56081;
Saarland;10;0;44;0121;121;Wallerfangen;42,22;9358;
Mecklenburg-Vorpommern;13;0;71;0156;156;Waren (Müritz);159,46;21267;
Thüringen;16;0;66;5013;086;Wasungen;89,08;5437;
Thüringen;16;0;55;0000;000;Weimar;84,47;65620;
Sachsen;14;6;27;0310;310;Weinböhla;19,02;10549;
Saarland;10;0;42;0117;117;Weiskirchen;33,65;6354;
Sachsen-Anhalt;15;0;84;0550;550;Weißenfels;113,57;39041;
Sachsen;14;6;26;5242;600;Weißwasser;63,43;15136;
