document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-4a6bff4c62f6;DOC-bff11fc0350a;GLMP-F6FA65D8C5;Bochum;Nordrhein-Westfalen;05911000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bo04gru.txt;main;bff11fc0350a030b072327e78cbf68b5f7181bbd90c9ba971de435707943cc49;manual_2024_reference
USE-f10799bf6c28;DOC-d105ac53e821;GLMP-09644ECC4C;Bonn;Nordrhein-Westfalen;05314000;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn04cdu.txt;main;d105ac53e82120de3bcdeaa2eb7a19d032522f5d28cf3982861a0bcc5401f295;manual_2024_reference
USE-5a0859305a97;DOC-9f75474a653c;GLMP-4EB03F034B;Bonn;Nordrhein-Westfalen;05314000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn04gru.txt;main;9f75474a653ca286c9c5f5e2419bf83283bfb01d05a518d24494693b625ef6a9;manual_2024_reference
USE-51e656d9d4b5;DOC-d400ac094432;GLMP-88B9A478FD;Bonn;Nordrhein-Westfalen;05314000;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bn04spd.txt;main;d400ac094432e77794471684da072451c50fe3da6988ec58fa7390efa8eddf06;manual_2024_reference
USE-b8a66f73ddfe;DOC-fc7b44991ba9;GLMP-7F710AC8F0;Duesseldorf;Nordrhein-Westfalen;05111000;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ds04cdu.txt;main;fc7b44991ba942fc3f81ef62d2cf4a2ff78b770391c03245dd7ca3453611e78b;manual_2024_reference
USE-ef4c09b8beb2;DOC-56c8adae8100;GLMP-540AE40898;Duisburg;Nordrhein-Westfalen;05112000;Die Linke;lin;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;du04lin.txt;main;56c8adae810019e4677f3387a459b81153a3421d10dfd37461f14a065dfd1054;manual_2024_reference
USE-f22bce095c4c;DOC-bede5d69969f;GLMP-40E7CC02F2;Duisburg;Nordrhein-Westfalen;05112000;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;du04fdp.txt;main;bede5d69969f8fae72b123ec4a53431157efd3c3aed644144d85b7f6c1f7a2f5;manual_2024_reference
USE-70c9b7b55d71;DOC-16d24cd566d3;GLMP-CCC81174CA;Essen;Nordrhein-Westfalen;05113000;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;es04fdp.txt;main;16d24cd566d3b15cb48fc556928df48cb15fa86899051145cfe55b088eaa926e;manual_2024_reference
USE-6785811cdff5;DOC-3a2018e2f712;GLMP-26DEC10118;Hagen;Nordrhein-Westfalen;05914000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ha04gru.txt;main;3a2018e2f712a9f21bad255c690eb3f1bbe9ce6f2905a37069b62e9c44906bc1;manual_2024_reference
USE-8790bbf80ed0;DOC-37c9cf9cc7f6;GLMP-9F6154F852;Hamm;Nordrhein-Westfalen;05915000;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;hm04cdu.txt;main;37c9cf9cc7f6c4f6eae6ca657a41525e39700ec1c6a3dc06377882fd8f9c0b50;manual_2024_reference
