source;filename;content_hash;bytes;manifesto_id;municipality;state;party;party_abbreviation;election_year;document_type;program_scope;classification_reason;path
main;bn04spd.txt;d400ac094432e77794471684da072451c50fe3da6988ec58fa7390efa8eddf06;42414;GLMP-88B9A478FD;Bonn;Nordrhein-Westfalen;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn04spd.txt
main;ds04cdu.txt;fc7b44991ba942fc3f81ef62d2cf4a2ff78b770391c03245dd7ca3453611e78b;12051;GLMP-7F710AC8F0;Duesseldorf;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ds04cdu.txt
main;du04lin.txt;56c8adae810019e4677f3387a459b81153a3421d10dfd37461f14a065dfd1054;134859;GLMP-540AE40898;Duisburg;Nordrhein-Westfalen;Die Linke;lin;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/du04lin.txt
main;du04fdp.txt;bede5d69969f8fae72b123ec4a53431157efd3c3aed644144d85b7f6c1f7a2f5;80577;GLMP-40E7CC02F2;Duisburg;Nordrhein-Westfalen;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/du04fdp.txt
main;es04fdp.txt;16d24cd566d3b15cb48fc556928df48cb15fa86899051145cfe55b088eaa926e;55474;GLMP-CCC81174CA;Essen;Nordrhein-Westfalen;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/es04fdp.txt
main;ha04gru.txt;3a2018e2f712a9f21bad255c690eb3f1bbe9ce6f2905a37069b62e9c44906bc1;89447;GLMP-26DEC10118;Hagen;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ha04gru.txt
main;hm04cdu.txt;37c9cf9cc7f6c4f6eae6ca657a41525e39700ec1c6a3dc06377882fd8f9c0b50;32091;GLMP-9F6154F852;Hamm;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/hm04cdu.txt
main;hm04gru.txt;c976ab6755f704a2d91c51940daa28ffe40eb90d07cab1f64eef78356f38288d;80872;GLMP-8CD92EE9D6;Hamm;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/hm04gru.txt
main;ko04lin.txt;8d6155f25da8cde3edadd86eceab568f6d3b8b60dfd5fbc9e5f01fdfc2a49ba6;81603;GLMP-58F40DBC62;Koeln;Nordrhein-Westfalen;Die Linke;lin;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ko04lin.txt
main;ko04fdp.txt;283903287a1cfade8a74fc6743179884407d8f4ded15c282215bd22a1422f8fa;85383;GLMP-AD57D2732A;Koeln;Nordrhein-Westfalen;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ko04fdp.txt
main;ko04gru.txt;105fc104b4bf85e396291ecb917c6a7a8a50629ab372bd942232ec810adcd6a4;169494;GLMP-61D5BE0131;Koeln;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ko04gru.txt
main;ko04spd.txt;bea30d824278b67083d1a4018de9f82cab602145d264bcdc0ac6238ca7fc5c00;213276;GLMP-7BA564C6EB;Koeln;Nordrhein-Westfalen;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ko04spd.txt
main;kr04cdu.txt;4c1f3204d151dc274f0738604a1b0396963e1b6631181687563225dcae432a60;75679;GLMP-17402F5EB8;Krefeld;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/kr04cdu.txt
main;kr04spd.txt;13455a9898eddd766ef99fd391c08241e03f5e29344dd378976cb37f6f7c95aa;13569;GLMP-C739DAD803;Krefeld;Nordrhein-Westfalen;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/kr04spd.txt
main;le04gru.txt;1dfb469ad9b4a2eac96df38be8b20c6ba51f6779fabbf6b6067e5c6689542903;33842;GLMP-258DE1835D;Leverkusen;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/le04gru.txt
main;mg04fdp.txt;59aed3fbacbb969caa94d23b08ecf4c7efb0636d8c4d3ef3d2fb5add69d6422b;47933;GLMP-5314DE51DF;Moenchengladbach;Nordrhein-Westfalen;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mg04fdp.txt
main;mg04fwg.txt;57ad5da33e3c0bc6ea2cf61bb73ad8fff8d7ce22d27ae16415ebaa64500a7356;10525;GLMP-0D9FF48CD2;Moenchengladbach;Nordrhein-Westfalen;Freie Wähler;fwg;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mg04fwg.txt
main;mg04spd.txt;4003338f65a413494f9e2e3576450d455e45e449ba58a1001954cd6b0d09aae5;16794;GLMP-1F90DCCB14;Moenchengladbach;Nordrhein-Westfalen;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mg04spd.txt
main;mo04cdu.txt;8e40f143576579e4d7d768e38fd74742a2e71834fce18f36af9335e77fe2d1db;10286;GLMP-6AA0F5C0FC;Moers;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mo04cdu.txt
main;mo04lin.txt;df4789a8e80436bb0acc77de4316d01d0d48a6079dd6383401b0ee813a9c4e99;14186;GLMP-2C43D7721D;Moers;Nordrhein-Westfalen;Die Linke;lin;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/mo04lin.txt
